-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; INO  ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;   Geol   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    3 ;    2 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  757.19 ;
   2 ;    4 ;    3 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  6488.30 ;   550.00 ; 32976.87 ;     0.00 ;    41.41 ;     0.00 ;     0.00 ;    8829.24 ;  3500.00 ;  6629.00 ;     0.00 ;  47099.9 ;      52743.55 ;    25.81 ;      67401.75 ;    32.99 ;  708.11 ;
   2 ;    4 ;    3 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  6490.30 ;   550.00 ; 30346.48 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    7379.82 ;  3500.00 ;  6150.97 ;     0.00 ;  47099.9 ;      52743.55 ;    25.81 ;      67401.75 ;    32.99 ;  696.91 ;
   2 ;    4 ;    3 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  6481.30 ;   550.00 ; 23058.27 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    6335.03 ;  1900.00 ;  4520.20 ;     0.00 ;  47099.9 ;      52743.55 ;    25.81 ;      67401.75 ;    32.99 ;  669.94 ;
   2 ;    4 ;    3 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  6485.18 ;   550.00 ; 27130.23 ;     0.00 ;    99.40 ;     0.00 ;     0.00 ;    7152.95 ;  2667.82 ;  5407.18 ;     0.00 ;  47099.9 ;      52743.55 ;    25.81 ;      67401.75 ;    32.99 ;  685.33 ;
   2 ;    4 ;    3 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1507.40 ;     0.00 ;  6054.02 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    6300.58 ;    -     ;    -     ;     0.00 ;   3383.4 ;       5777.39 ;    29.04 ;       5923.18 ;    29.77 ;  708.11 ;
   2 ;    4 ;    3 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1273.90 ;     0.00 ;  4206.43 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    6404.67 ;    -     ;    -     ;     0.00 ;   3383.4 ;       5777.39 ;    29.04 ;       5923.18 ;    29.77 ;  696.91 ;
   2 ;    4 ;    3 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1300.60 ;     0.00 ;  2372.76 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5706.64 ;    -     ;    -     ;     0.00 ;   3383.4 ;       5777.39 ;    29.04 ;       5923.18 ;    29.77 ;  669.94 ;
   2 ;    4 ;    3 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1338.78 ;     0.00 ;  3656.21 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    6018.88 ;    -     ;    -     ;     0.00 ;   3383.4 ;       5777.39 ;    29.04 ;       5923.18 ;    29.77 ;  685.33 ;
   2 ;    4 ;    3 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2414.10 ;     0.00 ;  3694.08 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2080.82 ;    -     ;    -     ;     0.00 ;   5147.0 ;      20818.72 ;    40.34 ;      23284.61 ;    45.12 ;  708.11 ;
   2 ;    4 ;    3 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2414.10 ;     0.00 ;  2356.80 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2737.10 ;    -     ;    -     ;     0.00 ;   5147.0 ;      20818.72 ;    40.34 ;      23284.61 ;    45.12 ;  696.91 ;
   2 ;    4 ;    3 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2414.10 ;     0.00 ;  1877.18 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1763.72 ;    -     ;    -     ;     0.00 ;   5147.0 ;      20818.72 ;    40.34 ;      23284.61 ;    45.12 ;  669.94 ;
   2 ;    4 ;    3 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2414.10 ;     0.00 ;  2399.39 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2087.50 ;    -     ;    -     ;     0.00 ;   5147.0 ;      20818.72 ;    40.34 ;      23284.61 ;    45.12 ;  685.33 ;
   2 ;    4 ;    3 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2809.50 ;     0.00 ; 15081.50 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;   7102.3 ;       3215.86 ;    21.83 ;       3928.11 ;    26.66 ;  697.86 ;
   2 ;    4 ;    3 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2799.10 ;     0.00 ; 14288.63 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11287.73 ;    -     ;    -     ;     0.00 ;   7102.3 ;       3215.86 ;    21.83 ;       3928.11 ;    26.66 ;  696.91 ;
   2 ;    4 ;    3 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2770.30 ;     0.00 ; 12870.57 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10297.87 ;    -     ;    -     ;     0.00 ;   7102.3 ;       3215.86 ;    21.83 ;       3928.11 ;    26.66 ;  669.94 ;
   2 ;    4 ;    3 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2786.39 ;     0.00 ; 13724.23 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10928.44 ;    -     ;    -     ;     0.00 ;   7102.3 ;       3215.86 ;    21.83 ;       3928.11 ;    26.66 ;  683.09 ;
   2 ;    4 ;    3 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  697.86 ;
   2 ;    4 ;    3 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  696.91 ;
   2 ;    4 ;    3 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  669.94 ;
   2 ;    4 ;    3 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  683.09 ;
   2 ;    5 ;    4 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  6488.30 ;   550.00 ; 30181.09 ;     0.00 ;    34.08 ;     0.00 ;     0.00 ;   11617.69 ;  3500.00 ;  6629.00 ;     0.00 ;  44008.5 ;      52743.55 ;    25.81 ;      65548.40 ;    32.08 ;  636.22 ;
   2 ;    5 ;    4 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  6490.30 ;   550.00 ; 26546.67 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;   11179.63 ;  3500.00 ;  6150.97 ;     0.00 ;  44008.5 ;      52743.55 ;    25.81 ;      65548.40 ;    32.08 ;  627.39 ;
   2 ;    5 ;    4 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  6481.30 ;   550.00 ; 23277.44 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    6115.86 ;  1900.00 ;  4520.20 ;     0.00 ;  44008.5 ;      52743.55 ;    25.81 ;      65548.40 ;    32.08 ;  616.11 ;
   2 ;    5 ;    4 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  6485.18 ;   550.00 ; 25640.02 ;     0.00 ;    97.80 ;     0.00 ;     0.00 ;    8641.56 ;  2667.82 ;  5407.18 ;     0.00 ;  44008.5 ;      52743.55 ;    25.81 ;      65548.40 ;    32.08 ;  623.45 ;
   2 ;    5 ;    4 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1264.30 ;     0.00 ; 11516.10 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1081.60 ;    -     ;    -     ;     0.00 ;   9529.8 ;       5777.39 ;    29.04 ;       7051.67 ;    35.44 ;  636.22 ;
   2 ;    5 ;    4 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1273.90 ;     0.00 ;  9676.22 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     934.88 ;    -     ;    -     ;     0.00 ;   9529.8 ;       5777.39 ;    29.04 ;       7051.67 ;    35.44 ;  627.39 ;
   2 ;    5 ;    4 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1300.60 ;     0.00 ;  7188.72 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     890.68 ;    -     ;    -     ;     0.00 ;   9529.8 ;       5777.39 ;    29.04 ;       7051.67 ;    35.44 ;  616.11 ;
   2 ;    5 ;    4 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1285.69 ;     0.00 ;  8784.25 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     943.93 ;    -     ;    -     ;     0.00 ;   9529.8 ;       5777.39 ;    29.04 ;       7051.67 ;    35.44 ;  623.45 ;
   2 ;    5 ;    4 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2240.10 ;     0.00 ;  3703.39 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2245.51 ;    -     ;    -     ;     0.00 ;   3164.5 ;      20818.72 ;    40.34 ;      21295.58 ;    41.27 ;  636.22 ;
   2 ;    5 ;    4 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2344.29 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2923.61 ;    -     ;    -     ;     0.00 ;   3164.5 ;      20818.72 ;    40.34 ;      21295.58 ;    41.27 ;  627.39 ;
   2 ;    5 ;    4 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2240.10 ;     0.00 ;  1883.38 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1931.52 ;    -     ;    -     ;     0.00 ;   3164.5 ;      20818.72 ;    40.34 ;      21295.58 ;    41.27 ;  616.11 ;
   2 ;    5 ;    4 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2401.38 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2259.52 ;    -     ;    -     ;     0.00 ;   3164.5 ;      20818.72 ;    40.34 ;      21295.58 ;    41.27 ;  623.45 ;
   2 ;    5 ;    4 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2809.50 ;     0.00 ; 14415.67 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11334.17 ;    -     ;    -     ;     0.00 ;   8160.9 ;       3215.86 ;    21.83 ;       5330.32 ;    36.18 ;  636.22 ;
   2 ;    5 ;    4 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2799.10 ;     0.00 ; 14275.55 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11274.65 ;    -     ;    -     ;     0.00 ;   8160.9 ;       3215.86 ;    21.83 ;       5330.32 ;    36.18 ;  627.39 ;
   2 ;    5 ;    4 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2770.30 ;     0.00 ;  9603.23 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -7030.53 ;    -     ;    -     ;     0.00 ;   8160.9 ;       3215.86 ;    21.83 ;       5330.32 ;    36.18 ;  616.11 ;
   2 ;    5 ;    4 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2786.39 ;     0.00 ; 11876.01 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9080.22 ;    -     ;    -     ;     0.00 ;   8160.9 ;       3215.86 ;    21.83 ;       5330.32 ;    36.18 ;  623.45 ;
   2 ;    5 ;    4 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  636.22 ;
   2 ;    5 ;    4 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  627.39 ;
   2 ;    5 ;    4 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  616.11 ;
   2 ;    5 ;    4 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  623.45 ;
   2 ;    6 ;    5 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  6488.30 ;   550.00 ; 31625.82 ;     0.00 ;    21.26 ;     0.00 ;     0.00 ;   10160.15 ;  3500.00 ;  6629.00 ;     0.00 ;  52019.9 ;      52743.55 ;    25.81 ;      71717.63 ;    35.10 ;  725.04 ;
   2 ;    6 ;    5 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  6490.30 ;   550.00 ; 27689.42 ;     0.00 ;    85.00 ;     0.00 ;     0.00 ;   10006.28 ;  3500.00 ;  6150.97 ;     0.00 ;  52019.9 ;      52743.55 ;    25.81 ;      71717.63 ;    35.10 ;  710.64 ;
   2 ;    6 ;    5 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  6481.30 ;   550.00 ; 23452.61 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    5940.69 ;  1900.00 ;  4520.20 ;     0.00 ;  52019.9 ;      52743.55 ;    25.81 ;      71717.63 ;    35.10 ;  699.05 ;
   2 ;    6 ;    5 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  6485.18 ;   550.00 ; 26345.47 ;     0.00 ;    87.00 ;     0.00 ;     0.00 ;    7925.31 ;  2667.82 ;  5407.18 ;     0.00 ;  52019.9 ;      52743.55 ;    25.81 ;      71717.63 ;    35.10 ;  707.76 ;
   2 ;    6 ;    5 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1507.40 ;     0.00 ;  9071.55 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3283.05 ;    -     ;    -     ;     0.00 ;   5369.6 ;       5777.39 ;    29.04 ;       5777.69 ;    29.04 ;  725.04 ;
   2 ;    6 ;    5 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1517.00 ;     0.00 ;  6365.45 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4002.55 ;    -     ;    -     ;     0.00 ;   5369.6 ;       5777.39 ;    29.04 ;       5777.69 ;    29.04 ;  710.64 ;
   2 ;    6 ;    5 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1543.70 ;     0.00 ;  4430.35 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3405.95 ;    -     ;    -     ;     0.00 ;   5369.6 ;       5777.39 ;    29.04 ;       5777.69 ;    29.04 ;  699.05 ;
   2 ;    6 ;    5 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1528.79 ;     0.00 ;  5949.96 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3535.12 ;    -     ;    -     ;     0.00 ;   5369.6 ;       5777.39 ;    29.04 ;       5777.69 ;    29.04 ;  707.76 ;
   2 ;    6 ;    5 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2414.10 ;     0.00 ;  4628.26 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1146.64 ;    -     ;    -     ;     0.00 ;   3523.0 ;      20818.72 ;    40.34 ;      20806.51 ;    40.32 ;  725.04 ;
   2 ;    6 ;    5 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2414.10 ;     0.00 ;  4313.86 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     780.04 ;    -     ;    -     ;     0.00 ;   3523.0 ;      20818.72 ;    40.34 ;      20806.51 ;    40.32 ;  710.64 ;
   2 ;    6 ;    5 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2414.10 ;     0.00 ;  2223.69 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1417.21 ;    -     ;    -     ;     0.00 ;   3523.0 ;      20818.72 ;    40.34 ;      20806.51 ;    40.32 ;  699.05 ;
   2 ;    6 ;    5 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2414.10 ;     0.00 ;  3295.40 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1191.50 ;    -     ;    -     ;     0.00 ;   3523.0 ;      20818.72 ;    40.34 ;      20806.51 ;    40.32 ;  707.76 ;
   2 ;    6 ;    5 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2809.50 ;     0.00 ; 14060.70 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10979.20 ;    -     ;    -     ;     0.00 ;   7141.8 ;       3215.86 ;    21.83 ;       4386.30 ;    29.77 ;  725.04 ;
   2 ;    6 ;    5 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2799.10 ;     0.00 ; 13567.13 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10566.23 ;    -     ;    -     ;     0.00 ;   7141.8 ;       3215.86 ;    21.83 ;       4386.30 ;    29.77 ;  710.64 ;
   2 ;    6 ;    5 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2770.30 ;     0.00 ;  9930.60 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -7357.90 ;    -     ;    -     ;     0.00 ;   7141.8 ;       3215.86 ;    21.83 ;       4386.30 ;    29.77 ;  699.05 ;
   2 ;    6 ;    5 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2786.39 ;     0.00 ; 11783.51 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -8987.72 ;    -     ;    -     ;     0.00 ;   7141.8 ;       3215.86 ;    21.83 ;       4386.30 ;    29.77 ;  707.76 ;
   2 ;    6 ;    5 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  725.04 ;
   2 ;    6 ;    5 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  710.64 ;
   2 ;    6 ;    5 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  699.05 ;
   2 ;    6 ;    5 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  707.76 ;
   2 ;    7 ;    6 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  6784.80 ;   550.00 ; 30457.41 ;     0.00 ;    36.83 ;     0.00 ;     0.00 ;   11047.62 ;  3500.00 ;  6629.00 ;     0.00 ;  37266.0 ;      52743.55 ;    25.81 ;      57936.28 ;    28.36 ; 1061.87 ;
   2 ;    7 ;    6 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  6786.80 ;   550.00 ; 26936.67 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;   10493.13 ;  3500.00 ;  6150.97 ;     0.00 ;  37266.0 ;      52743.55 ;    25.81 ;      57936.28 ;    28.36 ; 1044.67 ;
   2 ;    7 ;    6 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  6777.80 ;   550.00 ; 21241.44 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    7855.36 ;  1900.00 ;  4520.20 ;     0.00 ;  37266.0 ;      52743.55 ;    25.81 ;      57936.28 ;    28.36 ; 1002.88 ;
   2 ;    7 ;    6 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  6781.68 ;   550.00 ; 24743.39 ;     0.00 ;    98.40 ;     0.00 ;     0.00 ;    9242.28 ;  2667.82 ;  5407.18 ;     0.00 ;  37266.0 ;      52743.55 ;    25.81 ;      57936.28 ;    28.36 ; 1026.69 ;
   2 ;    7 ;    6 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1507.40 ;     0.00 ;  7915.87 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4438.73 ;    -     ;    -     ;     0.00 ;   4385.9 ;       5777.39 ;    29.04 ;       5760.24 ;    28.95 ; 1061.87 ;
   2 ;    7 ;    6 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1517.00 ;     0.00 ;  5285.11 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5082.89 ;    -     ;    -     ;     0.00 ;   4385.9 ;       5777.39 ;    29.04 ;       5760.24 ;    28.95 ; 1044.67 ;
   2 ;    7 ;    6 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1543.70 ;     0.00 ;  3179.77 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4656.53 ;    -     ;    -     ;     0.00 ;   4385.9 ;       5777.39 ;    29.04 ;       5760.24 ;    28.95 ; 1002.88 ;
   2 ;    7 ;    6 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1528.79 ;     0.00 ;  4764.63 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4720.45 ;    -     ;    -     ;     0.00 ;   4385.9 ;       5777.39 ;    29.04 ;       5760.24 ;    28.95 ; 1026.69 ;
   2 ;    7 ;    6 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  3749.50 ;     0.00 ;  3487.12 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     952.38 ;    -     ;    -     ;     0.00 ;   1207.6 ;      20818.72 ;    40.34 ;      19315.82 ;    37.43 ; 1050.58 ;
   2 ;    7 ;    6 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  3749.50 ;     0.00 ;  2568.62 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1189.88 ;    -     ;    -     ;     0.00 ;   1207.6 ;      20818.72 ;    40.34 ;      19315.82 ;    37.43 ; 1044.67 ;
   2 ;    7 ;    6 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  3749.50 ;     0.00 ;  1882.77 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     422.73 ;    -     ;    -     ;     0.00 ;   1207.6 ;      20818.72 ;    40.34 ;      19315.82 ;    37.43 ; 1002.88 ;
   2 ;    7 ;    6 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  3749.50 ;     0.00 ;  2412.49 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     739.00 ;    -     ;    -     ;     0.00 ;   1207.6 ;      20818.72 ;    40.34 ;      19315.82 ;    37.43 ; 1024.23 ;
   2 ;    7 ;    6 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  3127.90 ;     0.00 ; 14763.10 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;   7552.8 ;       3215.86 ;    21.83 ;       4571.49 ;    31.03 ; 1044.67 ;
   2 ;    7 ;    6 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  3117.50 ;     0.00 ; 14365.51 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11683.01 ;    -     ;    -     ;     0.00 ;   7552.8 ;       3215.86 ;    21.83 ;       4571.49 ;    31.03 ; 1044.67 ;
   2 ;    7 ;    6 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  3088.70 ;     0.00 ; 11639.46 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9385.16 ;    -     ;    -     ;     0.00 ;   7552.8 ;       3215.86 ;    21.83 ;       4571.49 ;    31.03 ; 1002.88 ;
   2 ;    7 ;    6 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  3104.79 ;     0.00 ; 13034.48 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10557.09 ;    -     ;    -     ;     0.00 ;   7552.8 ;       3215.86 ;    21.83 ;       4571.49 ;    31.03 ; 1022.93 ;
   2 ;    7 ;    6 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ; 1044.67 ;
